,0
GMS_pds_l40_dw,5.155532422064766
Freshness_Factor,1.6433063595140966
DOW_num,1.2569910025772102
GMS_per_constr_avg_past_diff_from_RPB,0.7305472650499565
Wordplay,0.5250366057183447
Words,0.4463281917234471
Open_Squares,0.2923213600727333
Unique_Answers,0.2441780150184284
Rebus_Count,0.20299858227970186
Circle_Count,0.18446903758906025
Blocks,0.1463216652160241
Shade_Count,0.14347600384248585
Rebus_Unique,0.14023340019384994
Scrabble_Score,0.10324156609245773
FITB,0.04722895062975489
Cross_Ref_Clues,-0.025707390295349873
Overall_Freshness%,-0.07798960121519405
AWL,-0.17272471922191376
Scrabble_Illegal,-0.17497565762593978
GMS_npds_prior_solves_ct,-0.29480327371454473
GMS_pds_prior_solves_ct,-0.298863787726764
Cheater_Squares,-0.33837924860546625
GMS_pds_l40_stdev,-0.49709960113562
