,0
GMS_pds_l40_dw,6.293743430248479
Freshness_Factor,1.9195347679298889
DOW_num,1.2232282203736955
Wordplay,0.5352764700473918
Words,0.47169593280183125
Open_Squares,0.313212495886848
Unique_Answers,0.283088136770469
Rebus_Count,0.2463969833398256
Circle_Count,0.20201981260403926
Blocks,0.18801341725316723
Shade_Count,0.13618344931278176
Scrabble_Score,0.13269695059236014
Rebus_Unique,0.08996158728514951
FITB,0.05134894491385656
Cross_Ref_Clues,0.011929851060617606
Scrabble_Illegal,-0.14037871452398173
AWL,-0.15657027442799648
GMS_npds_prior_solves_ct,-0.25525791328718755
GMS_pds_prior_solves_ct,-0.25920728478778404
Overall_Freshness%,-0.28874794282616384
Cheater_Squares,-0.39044006169410417
GMS_pds_l40_stdev,-1.5882146891159206
